類別,期間,數值,單位,備註
月營收,2026-01,571000,仟元,年增19.18%
月營收,2026-02,629431,仟元,年增60.76%
月營收,2026-03,681209,仟元,年增33.01%
月營收,2026-04,733783,仟元,年增53.16%（歷史新高）
月營收,2026-05,708433,仟元,年增49.90%
月營收,2026-06,688976,仟元,年增46.36%
月營收,2026-07,854000,仟元,年增68.11%（歷史新高）
季營收,2026Q1,1881640,仟元,加總1-3月
季營收,2026Q2,2131192,仟元,加總4-6月；EPS 1.45元
股價樣本,2026-04-16,86.9,元,
股價樣本,2026-05-08,101.0,元,
股價樣本,2026-05-26,107.0,元,
股價樣本,2026-06-29,111.0,元,單日大漲9.9%
股價樣本,2026-08-06,109.0,元,
股價樣本,2026-08-26,118.0,元,單日大漲8.26%（最新收盤）
三大法人買賣超-外資,2026-01-14,3698,張,
三大法人買賣超-外資,2026-01-15,6803,張,
三大法人買賣超-外資,2026-01-16,6440,張,
三大法人買賣超-外資,2026-01-19,15197,張,
三大法人買賣超-投信,2026-01-14,-1098,張,
三大法人買賣超-投信,2026-01-15,1451,張,
三大法人買賣超-投信,2026-01-16,5301,張,
三大法人買賣超-投信,2026-01-19,2799,張,
三大法人買賣超-自營商,2026-01-14,0,張,無資料
三大法人買賣超-自營商,2026-01-15,1234,張,
三大法人買賣超-自營商,2026-01-16,129,張,
三大法人買賣超-自營商,2026-01-19,800,張,
